dockernet-relayer-gaia-1  | ts=2023-09-05T11:19:03.452961Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE gas_used=106507 fees=1225ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=253 msg_types=/ibc.core.client.v1.MsgUpdateClient,/stride.interchainquery.v1.MsgSubmitQueryResponse tx_hash=25D59361161F34A2689CB5841203D03D945729F0D39339D1F26AE1DAB19678C6
dockernet-relayer-gaia-1  | ts=2023-09-05T11:19:05.064513Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=GAIA packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=169354 fees=1902uatom fee_payer=cosmos16lmf7t0jhaatan6vnxlgv47h2wf0k5lnhvye5h height=394 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgRecvPacket tx_hash=8FD6A4613DE256887E1D4A2BA095F0C4BEF443ACC351D8418B8BB9D517EC5CFD
dockernet-relayer-gaia-1  | ts=2023-09-05T11:19:08.157849Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=130860 fees=1505ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=256 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgAcknowledgement tx_hash=6CE1CE4DB40687A93E5DD67FBBD97A3CC6E931F82F40DE858DBE774656802D4D
dockernet-relayer-gaia-1  | ts=2023-09-05T11:19:42.513880Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE gas_used=109368 fees=1225ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=278 msg_types=/ibc.core.client.v1.MsgUpdateClient,/stride.interchainquery.v1.MsgSubmitQueryResponse tx_hash=64EFA97CB5DE284E33D6D95C7525B18925C7688C942F5CF0D06995FD76A651F9
dockernet-relayer-gaia-1  | ts=2023-09-05T11:19:43.475387Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=GAIA packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=169804 fees=1908uatom fee_payer=cosmos16lmf7t0jhaatan6vnxlgv47h2wf0k5lnhvye5h height=432 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgRecvPacket tx_hash=51CF4E1B63D2B46296823E583514FD5D9DE4F90038DA4556BBD29B25ABA5EB08
dockernet-relayer-gaia-1  | ts=2023-09-05T11:19:46.991538Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=130850 fees=1504ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=281 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgAcknowledgement tx_hash=6DFC6F507B9296D2CAAE264A273123365F75BA2C5177B070C9A1E464CC3C1863
dockernet-relayer-gaia-1  | ts=2023-09-05T11:20:22.603875Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE gas_used=109368 fees=1225ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=304 msg_types=/ibc.core.client.v1.MsgUpdateClient,/stride.interchainquery.v1.MsgSubmitQueryResponse tx_hash=7780090ACE725431FA85877F81044E37AFC6A095C38AB2AD032A96F85B1AFC0C
dockernet-relayer-gaia-1  | ts=2023-09-05T11:20:23.889108Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=GAIA packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=169377 fees=1903uatom fee_payer=cosmos16lmf7t0jhaatan6vnxlgv47h2wf0k5lnhvye5h height=472 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgRecvPacket tx_hash=3F6341C8771703FCD7B4FC262AE97E77D7A14B13B7E7899D1E666D68AAF214F3
dockernet-relayer-gaia-1  | ts=2023-09-05T11:20:27.197189Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=134850 fees=1556ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=307 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgAcknowledgement tx_hash=E31FFC4F0D3060C42EFF87C52E05426F1BB02FF2D45902866F29A7AB2D58E3D5
dockernet-relayer-gaia-1  | ts=2023-09-05T11:21:02.726615Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE gas_used=109315 fees=1224ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=330 msg_types=/ibc.core.client.v1.MsgUpdateClient,/stride.interchainquery.v1.MsgSubmitQueryResponse tx_hash=9D0DC54E7992C534F24D14C14A34DF41C3F04FD8C4AC9B141C66A30DBCAC8884
dockernet-relayer-gaia-1  | ts=2023-09-05T11:21:04.222276Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=GAIA packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=169467 fees=1904uatom fee_payer=cosmos16lmf7t0jhaatan6vnxlgv47h2wf0k5lnhvye5h height=512 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgRecvPacket tx_hash=D19C30E9C0EDF62CA27526C733803A9C5534541FE59BB20162BEDBA171881181
dockernet-relayer-gaia-1  | ts=2023-09-05T11:21:07.330496Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=134765 fees=1555ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=333 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgAcknowledgement tx_hash=AB8E12E53916609DB25C7D8F8D133B176A6806D1AE3924C2CCFA02B915D39988
dockernet-relayer-gaia-1  | ts=2023-09-05T11:21:43.438725Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE gas_used=106501 fees=1225ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=356 msg_types=/ibc.core.client.v1.MsgUpdateClient,/stride.interchainquery.v1.MsgSubmitQueryResponse tx_hash=E4E6B43A6B5218AEEA520B8DBA8EE9460095BC671B0E177B1D072997DF8E2ED9
dockernet-relayer-gaia-1  | ts=2023-09-05T11:21:44.640294Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=GAIA packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=169717 fees=1907uatom fee_payer=cosmos16lmf7t0jhaatan6vnxlgv47h2wf0k5lnhvye5h height=552 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgRecvPacket tx_hash=2EFE91C20B6B84E5920D79BA6BA9D80FA860124E767238E745F75438F0D68645
dockernet-relayer-gaia-1  | ts=2023-09-05T11:21:48.033279Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=134830 fees=1556ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=359 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgAcknowledgement tx_hash=4B1ED1CAA131B88B5E1C3C072C8DB6172D6DC9034E600F4DC9CB8AFF5E41B674
dockernet-relayer-gaia-1  | ts=2023-09-05T11:22:22.188536Z lvl=warn msg="Error querying block data" chain_name=stride chain_id=STRIDE error="RPC error -32603 - Internal error: could not find results for height #381"
dockernet-relayer-gaia-1  | ts=2023-09-05T11:22:22.254397Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE gas_used=106510 fees=1225ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=381 msg_types=/ibc.core.client.v1.MsgUpdateClient,/stride.interchainquery.v1.MsgSubmitQueryResponse tx_hash=77B98BA34EE0C36BBC1D66E1EC0E8F3E9A755AEF43A268BF47F5138CB4DCE2B9
dockernet-relayer-gaia-1  | ts=2023-09-05T11:22:24.070909Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=GAIA packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=169097 fees=1899uatom fee_payer=cosmos16lmf7t0jhaatan6vnxlgv47h2wf0k5lnhvye5h height=591 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgRecvPacket tx_hash=035DF8E31D0A8BADFE9B9B93C2FD76C064533A6194F9AA52F7199D770F4CB775
