dockernet-relayer-gaia-1  | ts=2023-09-05T11:25:02.255537Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE gas_used=106498 fees=1225ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=483 msg_types=/ibc.core.client.v1.MsgUpdateClient,/stride.interchainquery.v1.MsgSubmitQueryResponse tx_hash=665D957E3D6671C75E79E7005760D311359B1AC4BEA2F9E4E401D23F171B92F4
dockernet-relayer-gaia-1  | ts=2023-09-05T11:25:02.742541Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=GAIA packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=169137 fees=1900uatom fee_payer=cosmos16lmf7t0jhaatan6vnxlgv47h2wf0k5lnhvye5h height=748 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgRecvPacket tx_hash=0F3F914AA246176E8584147CC7E29A0A116442F8E12A2B45ADBF6B7C87006689
dockernet-relayer-gaia-1  | ts=2023-09-05T11:25:05.256189Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=135346 fees=1563ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=485 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgAcknowledgement tx_hash=80056D3255D82085D326EC705D10BEE0D32B3955CCEC84500C1A896DDBFF4160
dockernet-relayer-gaia-1  | ts=2023-09-05T11:25:42.560466Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE gas_used=109315 fees=1224ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=509 msg_types=/ibc.core.client.v1.MsgUpdateClient,/stride.interchainquery.v1.MsgSubmitQueryResponse tx_hash=69EE1057BAAB44D4988B86F46043AB10980DF1DDF45E0DB1DD2AE670DD7FD167
dockernet-relayer-gaia-1  | ts=2023-09-05T11:25:44.176046Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=GAIA packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=169777 fees=1907uatom fee_payer=cosmos16lmf7t0jhaatan6vnxlgv47h2wf0k5lnhvye5h height=789 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgRecvPacket tx_hash=A1B9AE53BAAD7B133AC8B1BD82CFE849F5B1D45069E0049BFE31FEF320DE3458
dockernet-relayer-gaia-1  | ts=2023-09-05T11:25:45.958906Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=132403 fees=1562ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=511 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgAcknowledgement tx_hash=7BC9CED7F3562441A088F3A2EB775FE9AED9A58C6438C848C723A08CDFD2AC8F
dockernet-relayer-gaia-1  | ts=2023-09-05T11:26:23.791729Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE gas_used=109359 fees=1225ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=535 msg_types=/ibc.core.client.v1.MsgUpdateClient,/stride.interchainquery.v1.MsgSubmitQueryResponse tx_hash=DBBE7EE2343C12FBC45434423DF12D213A915EF0ED43F56CD797AFAAC26DACCB
dockernet-relayer-gaia-1  | ts=2023-09-05T11:26:24.581967Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=GAIA packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=168987 fees=1898uatom fee_payer=cosmos16lmf7t0jhaatan6vnxlgv47h2wf0k5lnhvye5h height=829 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgRecvPacket tx_hash=33F469A9956E32B1039A3C112B8DC19232F104280A84D43AD909C5D0184906ED
dockernet-relayer-gaia-1  | ts=2023-09-05T11:26:26.978391Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=135303 fees=1562ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=537 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgAcknowledgement tx_hash=3612EFC0C1F792BC77958549FD3379EAD53AB9F1439257BCB23725A1B664B6C8
dockernet-relayer-gaia-1  | ts=2023-09-05T11:27:02.516016Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE gas_used=109365 fees=1225ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=560 msg_types=/ibc.core.client.v1.MsgUpdateClient,/stride.interchainquery.v1.MsgSubmitQueryResponse tx_hash=23D1CBE2E024B9657D64BCCA5EECE46D36A89458E9E1BFEEA6F6C82D2FB9A47D
dockernet-relayer-gaia-1  | ts=2023-09-05T11:27:03.910208Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=GAIA packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=169877 fees=1909uatom fee_payer=cosmos16lmf7t0jhaatan6vnxlgv47h2wf0k5lnhvye5h height=868 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgRecvPacket tx_hash=3EDE13B94437573850E40C575960FB7A3B7CCE447395D154C62890152D80D7AA
dockernet-relayer-gaia-1  | ts=2023-09-05T11:27:07.205832Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=135306 fees=1562ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=563 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgAcknowledgement tx_hash=89C7C86DBBE14BF6220BDE6CD05EBEBE3C4F8C842FB39BBBFA7A4810F3067660
dockernet-relayer-gaia-1  | ts=2023-09-05T11:27:42.934338Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE gas_used=109315 fees=1224ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=586 msg_types=/ibc.core.client.v1.MsgUpdateClient,/stride.interchainquery.v1.MsgSubmitQueryResponse tx_hash=44D2278EBAA57BA27043EFF121C1A134FCEA46E314CF268680B2502E2734DFC6
dockernet-relayer-gaia-1  | ts=2023-09-05T11:27:44.337086Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=GAIA packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=169371 fees=1903uatom fee_payer=cosmos16lmf7t0jhaatan6vnxlgv47h2wf0k5lnhvye5h height=908 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgRecvPacket tx_hash=C7FD8CB4B53EAFF50B855EBD4A5F8E325BF02819763740632D923D856CE2D3F0
dockernet-relayer-gaia-1  | ts=2023-09-05T11:27:47.628287Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=135294 fees=1562ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=589 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgAcknowledgement tx_hash=5A0FCAD0071791137A0D86F6E31FECBFFBD390E2D1A14508859A78E149071A97
dockernet-relayer-gaia-1  | ts=2023-09-05T11:28:23.349757Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE gas_used=106507 fees=1225ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=612 msg_types=/ibc.core.client.v1.MsgUpdateClient,/stride.interchainquery.v1.MsgSubmitQueryResponse tx_hash=3A8754C07BD04620F19362F1B2BDA31F56409AE5E3C41208C6AD99629166BD3D
dockernet-relayer-gaia-1  | ts=2023-09-05T11:28:23.751072Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=GAIA packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=169488 fees=1904uatom fee_payer=cosmos16lmf7t0jhaatan6vnxlgv47h2wf0k5lnhvye5h height=947 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgRecvPacket tx_hash=CA96FCB8F8ABF1B707436F26C388C152B62365AA447BB93A3F16E6B3642D7B53
dockernet-relayer-gaia-1  | ts=2023-09-05T11:28:26.453660Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=135306 fees=1562ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=614 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgAcknowledgement tx_hash=4E1290CBC53C119C6FBF0420DEEDA5E71B389CE39B00D8B4B18C907DA14F1D03
dockernet-relayer-gaia-1  | ts=2023-09-05T11:29:03.668683Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE gas_used=109315 fees=1224ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=638 msg_types=/ibc.core.client.v1.MsgUpdateClient,/stride.interchainquery.v1.MsgSubmitQueryResponse tx_hash=C58F1746B351163E0959553C7BAAFBC6EA0A55EA9719DDF80FFF27CFFF65CE70
dockernet-relayer-gaia-1  | ts=2023-09-05T11:29:05.168401Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=GAIA packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=169797 fees=1908uatom fee_payer=cosmos16lmf7t0jhaatan6vnxlgv47h2wf0k5lnhvye5h height=988 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgRecvPacket tx_hash=BEFA1B8A2EBEF3478B2FFD05FED80CD28817EAA7658E57E8BC63EAA9596629C6
dockernet-relayer-gaia-1  | ts=2023-09-05T11:29:08.269536Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=132383 fees=1561ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=641 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgAcknowledgement tx_hash=36C03F0917C86BAF6FD0BBDA20CF1DE97E1D421A5CD74DBC2D887824B62DFA0E
dockernet-relayer-gaia-1  | ts=2023-09-05T11:29:36.420098Z lvl=warn msg="Error querying block data" chain_name=gaia chain_id=GAIA error="RPC error -32603 - Internal error: could not find results for height #1019"
dockernet-relayer-gaia-1  | ts=2023-09-05T11:29:42.719876Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE gas_used=106630 fees=1227ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=663 msg_types=/ibc.core.client.v1.MsgUpdateClient,/stride.interchainquery.v1.MsgSubmitQueryResponse tx_hash=0512ABE8BAFD78571AE524D2F947B08EF4620D1E42C5B0B48924F2EEC2D96221
dockernet-relayer-gaia-1  | ts=2023-09-05T11:29:44.619063Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=GAIA packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=169190 fees=1900uatom fee_payer=cosmos16lmf7t0jhaatan6vnxlgv47h2wf0k5lnhvye5h height=1027 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgRecvPacket tx_hash=194DC007AF6CB3912889F6158C2F479348946E1969D50B18EDA0E8DA6C5CC5CB
dockernet-relayer-gaia-1  | ts=2023-09-05T11:29:47.429921Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=132599 fees=1564ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=666 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgAcknowledgement tx_hash=00A96341CC3CEDA1EFB7E33F4EBDDD62B51B5CCF8F958656840CAB6C44B1592B
dockernet-relayer-gaia-1  | ts=2023-09-05T11:30:23.618046Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE gas_used=109509 fees=1227ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=689 msg_types=/ibc.core.client.v1.MsgUpdateClient,/stride.interchainquery.v1.MsgSubmitQueryResponse tx_hash=106E0D5D42734C27E37879225D9E8E25FD99517E8D31DCDDBA53D56D2BDC2161
dockernet-relayer-gaia-1  | ts=2023-09-05T11:30:25.044406Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=GAIA packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=169810 fees=1908uatom fee_payer=cosmos16lmf7t0jhaatan6vnxlgv47h2wf0k5lnhvye5h height=1067 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgRecvPacket tx_hash=83A09219F0AA380E78504F623574DD8CCF15E53019B51C23F234FE331328EAB4
dockernet-relayer-gaia-1  | ts=2023-09-05T11:30:28.308401Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=132582 fees=1564ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=692 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgAcknowledgement tx_hash=62F44C3026F55B9B8E08FC09D643DD5A3FD6DD12644548A6389D46094FB6E4F9
dockernet-relayer-gaia-1  | ts=2023-09-05T11:31:02.466647Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE gas_used=106651 fees=1227ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=714 msg_types=/ibc.core.client.v1.MsgUpdateClient,/stride.interchainquery.v1.MsgSubmitQueryResponse tx_hash=190580CBF0D92762D38E8F39CA39A976F87E0DE137032D1E0C3F173EDD970FC9
dockernet-relayer-gaia-1  | ts=2023-09-05T11:31:03.492310Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=GAIA packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=169137 fees=1900uatom fee_payer=cosmos16lmf7t0jhaatan6vnxlgv47h2wf0k5lnhvye5h height=1105 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgRecvPacket tx_hash=0A488C80A747D0C22CFBE5856558A5018CBDB4232341C8F3A41E5207ADE0EC0B
dockernet-relayer-gaia-1  | ts=2023-09-05T11:31:05.459457Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=134997 fees=1558ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=716 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgAcknowledgement tx_hash=BD0A6B4F11ECF9CC0F9905D7BB39DA874152B557E3452D4912E8E8CC21138696
dockernet-relayer-gaia-1  | ts=2023-09-05T11:31:42.751846Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE gas_used=109506 fees=1227ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=740 msg_types=/ibc.core.client.v1.MsgUpdateClient,/stride.interchainquery.v1.MsgSubmitQueryResponse tx_hash=E073063F26EB02EC4CF0677B581CE1E29F9BFA4E3AE81888522CF0BB44413D88
dockernet-relayer-gaia-1  | ts=2023-09-05T11:31:44.066190Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=GAIA packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=169820 fees=1908uatom fee_payer=cosmos16lmf7t0jhaatan6vnxlgv47h2wf0k5lnhvye5h height=1145 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgRecvPacket tx_hash=725D266CBFD0B24A4298148CB8D1E22069551185A1B81DD8DE1AD7D60301AF3F
dockernet-relayer-gaia-1  | ts=2023-09-05T11:31:47.556266Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=135446 fees=1564ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=743 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgAcknowledgement tx_hash=8D24A8F07A4B5A668658D13878DE41D1F4EDFEABBBE8AC2B707D4FE88DA7C22A
dockernet-relayer-gaia-1  | ts=2023-09-05T11:32:23.580479Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE gas_used=106604 fees=1226ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=766 msg_types=/ibc.core.client.v1.MsgUpdateClient,/stride.interchainquery.v1.MsgSubmitQueryResponse tx_hash=C0AD1E2A841CC4DBE96FCA4B721815F4C37597465D11AEA2978A4638216E4A85
dockernet-relayer-gaia-1  | ts=2023-09-05T11:32:24.358519Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=GAIA packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=169470 fees=1904uatom fee_payer=cosmos16lmf7t0jhaatan6vnxlgv47h2wf0k5lnhvye5h height=1185 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgRecvPacket tx_hash=C4F4DDFA88CB5B8EE945D1EA7F3CDA0D00284876F9E08DFA939613C2FCBF6F51
dockernet-relayer-gaia-1  | ts=2023-09-05T11:32:26.707138Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=135381 fees=1563ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=768 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgAcknowledgement tx_hash=9B7E345B3670F95FC6739EDAAD22DCCD2E01235A0DA05D2F4167EDCF64E25B9E
dockernet-relayer-gaia-1  | ts=2023-09-05T11:33:03.200895Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE gas_used=106648 fees=1227ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=791 msg_types=/ibc.core.client.v1.MsgUpdateClient,/stride.interchainquery.v1.MsgSubmitQueryResponse tx_hash=C2ED6AA8688464156708D8A10D97FEE3E025F80E5AA8187F92856C6E66BBA77E
dockernet-relayer-gaia-1  | ts=2023-09-05T11:33:03.701748Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=GAIA packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=169430 fees=1903uatom fee_payer=cosmos16lmf7t0jhaatan6vnxlgv47h2wf0k5lnhvye5h height=1224 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgRecvPacket tx_hash=BFC1D9AB9A5CE543581D1D1C7C64162FF86B5585C35CB3841CDFD73E1CC48056
dockernet-relayer-gaia-1  | ts=2023-09-05T11:33:06.307560Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=132588 fees=1564ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=793 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgAcknowledgement tx_hash=FCC0DC78A794EC1C8329D548DD434C30F9A51265280AB8869E3ED7B0F8447F6F
dockernet-relayer-gaia-1  | ts=2023-09-05T11:33:42.608316Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE gas_used=106604 fees=1226ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=816 msg_types=/ibc.core.client.v1.MsgUpdateClient,/stride.interchainquery.v1.MsgSubmitQueryResponse tx_hash=60EDC48625773389309C7E45E81BCE497C279DB9791294BD7E995962BFD2B87B
dockernet-relayer-gaia-1  | ts=2023-09-05T11:33:43.171840Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=GAIA packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=169170 fees=1900uatom fee_payer=cosmos16lmf7t0jhaatan6vnxlgv47h2wf0k5lnhvye5h height=1263 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgRecvPacket tx_hash=CF2108F0F033F0B42D9A13C8A777963E7E07DDEA69815EDBE66C34F8004E2189
dockernet-relayer-gaia-1  | ts=2023-09-05T11:33:45.607065Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=135381 fees=1563ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=818 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgAcknowledgement tx_hash=F9C53F5F25CA5C45699F1CE0281E5C910C52FEC2E818036C4AEB33D3BDF745B4
dockernet-relayer-gaia-1  | ts=2023-09-05T11:34:23.366216Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE gas_used=106648 fees=1227ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=842 msg_types=/ibc.core.client.v1.MsgUpdateClient,/stride.interchainquery.v1.MsgSubmitQueryResponse tx_hash=E03D63E07CB9F2E567FE22B635FBE89E72F062E3F109793D463E3EF9241E7306
dockernet-relayer-gaia-1  | ts=2023-09-05T11:34:24.512507Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=GAIA packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=168890 fees=1897uatom fee_payer=cosmos16lmf7t0jhaatan6vnxlgv47h2wf0k5lnhvye5h height=1304 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgRecvPacket tx_hash=698D014BBDD82BF8931E539165FFD9A466EEFD33DCAAEA1E4C5150624CB2A5AF
dockernet-relayer-gaia-1  | ts=2023-09-05T11:34:26.497050Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=135443 fees=1564ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=844 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgAcknowledgement tx_hash=2727786506550395A97B1B11321D4240A26290C76D75BE7CA8799D33BDAE85D8
dockernet-relayer-gaia-1  | ts=2023-09-05T11:34:33.576768Z lvl=warn msg="Error querying block data" chain_name=gaia chain_id=GAIA error="RPC error -32603 - Internal error: could not find results for height #1313"
dockernet-relayer-gaia-1  | ts=2023-09-05T11:35:02.953894Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE gas_used=109512 fees=1227ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=867 msg_types=/ibc.core.client.v1.MsgUpdateClient,/stride.interchainquery.v1.MsgSubmitQueryResponse tx_hash=059BD6293D00A2E1EF31F90B0E8C64F2D0FAB736D3A49573B5A49624AEAFF7DF
dockernet-relayer-gaia-1  | ts=2023-09-05T11:35:04.052245Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=GAIA packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=168244 fees=1889uatom fee_payer=cosmos16lmf7t0jhaatan6vnxlgv47h2wf0k5lnhvye5h height=1343 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgRecvPacket tx_hash=D06B1E67A799185138D59BC30E2C53E613D1A7F05D99895235D880CD9FE945BA
dockernet-relayer-gaia-1  | ts=2023-09-05T11:35:07.761853Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=135446 fees=1564ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=870 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgAcknowledgement tx_hash=BAE40108F6D8AA22C21FDEB427943A0067F34BD6D33BBC087D031C4C62F3A11D
dockernet-relayer-gaia-1  | ts=2023-09-05T11:35:43.302414Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE gas_used=109462 fees=1226ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=893 msg_types=/ibc.core.client.v1.MsgUpdateClient,/stride.interchainquery.v1.MsgSubmitQueryResponse tx_hash=5A76FF2343CDAD1D69554A85F0323A8735B2AF768281F0214DA59281D86CB910
dockernet-relayer-gaia-1  | ts=2023-09-05T11:35:44.301813Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=GAIA packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=169351 fees=1902uatom fee_payer=cosmos16lmf7t0jhaatan6vnxlgv47h2wf0k5lnhvye5h height=1383 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgRecvPacket tx_hash=AC8DCFC54FC11C2FA798AE2150814A71803A97BF2B2FB0E3793CF397539E889B
dockernet-relayer-gaia-1  | ts=2023-09-05T11:35:46.510480Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=135388 fees=1563ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=895 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgAcknowledgement tx_hash=43A258A90B9CF4B98CDFD07CDBA9BF0E8228486BED00CE5ADA0BC67827B032E6
dockernet-relayer-gaia-1  | ts=2023-09-05T11:36:23.607288Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE gas_used=106645 fees=1227ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=919 msg_types=/ibc.core.client.v1.MsgUpdateClient,/stride.interchainquery.v1.MsgSubmitQueryResponse tx_hash=0B2E9634CF0014553D2FEB7377426B81AAF8FB1A2E137A0ADF72164CDF84B74F
dockernet-relayer-gaia-1  | ts=2023-09-05T11:36:24.732120Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=GAIA packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=169030 fees=1898uatom fee_payer=cosmos16lmf7t0jhaatan6vnxlgv47h2wf0k5lnhvye5h height=1423 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgRecvPacket tx_hash=38A18838EA812F3DE6152B92F51A1097B7681FB0B7C87D723CF935D5B02EF171
dockernet-relayer-gaia-1  | ts=2023-09-05T11:36:28.308178Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=132588 fees=1564ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=922 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgAcknowledgement tx_hash=9182E8CF8E420AD7B8BE6668B19D3737DE94E7CCCCED7B9E861496BE58911A51
